EX_NUM,m1,m2,n1,n2,k1,k2,max_f,min_f,max_g,min_g,alpha,th1,th2,BOOL_ALPHA_THETA,EMIN
3, 	 5, 	 5, 	 4, 	 4, 	 1, 	 1, 	 215.1278, 	 0.0022231, 	 604.1473, 	 1.8905e-13, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
1, 	 4, 	 4, 	 3, 	 3, 	 3, 	 3, 	 2.364, 	 0.022053, 	 2.364, 	 0.022053, 	 0.83983, 	 1.3247, 	 0.44546, 	 y,  	 1.000000e-12 
1, 	 3, 	 1, 	 1, 	 2, 	 1, 	 1, 	 4.468, 	 0.18184, 	 8.5931, 	 0.096915, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
1, 	 3, 	 1, 	 1, 	 2, 	 1, 	 1, 	 1.3823, 	 0.18184, 	 1.3823, 	 0.18184, 	 1.7881, 	 1.0493, 	 0.28098, 	 y,  	 1.000000e-12 
1, 	 4, 	 4, 	 3, 	 3, 	 1, 	 1, 	 35.0814, 	 0.010828, 	 90.4559, 	 0.0034006, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
1, 	 4, 	 4, 	 3, 	 3, 	 1, 	 1, 	 11.4599, 	 0.0051763, 	 11.4599, 	 0.0051763, 	 1.0873, 	 1.1832, 	 0.48843, 	 y,  	 1.000000e-12 
1, 	 4, 	 4, 	 3, 	 3, 	 2, 	 2, 	 16.9294, 	 0.023513, 	 59.8677, 	 0.006752, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
1, 	 4, 	 4, 	 3, 	 3, 	 2, 	 2, 	 8.7322, 	 0.014545, 	 8.7322, 	 0.014545, 	 1.2245, 	 1.3264, 	 0.49202, 	 y,  	 1.000000e-12 
1, 	 4, 	 4, 	 3, 	 3, 	 3, 	 3, 	 4.5959, 	 0.053194, 	 31.8445, 	 0.014965, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
1, 	 4, 	 4, 	 3, 	 3, 	 3, 	 3, 	 2.364, 	 0.022053, 	 2.364, 	 0.022053, 	 0.83983, 	 1.3247, 	 0.44546, 	 y,  	 1.000000e-12 
1, 	 3, 	 1, 	 1, 	 2, 	 1, 	 1, 	 4.468, 	 0.18184, 	 8.5931, 	 0.096915, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
1, 	 3, 	 1, 	 1, 	 2, 	 1, 	 1, 	 1.3823, 	 0.18184, 	 1.3823, 	 0.18184, 	 1.7881, 	 1.0493, 	 0.28098, 	 y,  	 1.000000e-12 
1, 	 4, 	 4, 	 3, 	 3, 	 1, 	 1, 	 35.0814, 	 0.010828, 	 90.4559, 	 0.0034006, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
1, 	 4, 	 4, 	 3, 	 3, 	 1, 	 1, 	 11.4599, 	 0.0051763, 	 11.4599, 	 0.0051763, 	 1.0873, 	 1.1832, 	 0.48843, 	 y,  	 1.000000e-12 
1, 	 4, 	 4, 	 3, 	 3, 	 2, 	 2, 	 16.9294, 	 0.023513, 	 59.8677, 	 0.006752, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
1, 	 4, 	 4, 	 3, 	 3, 	 2, 	 2, 	 8.7322, 	 0.014545, 	 8.7322, 	 0.014545, 	 1.2245, 	 1.3264, 	 0.49202, 	 y,  	 1.000000e-12 
1, 	 4, 	 4, 	 3, 	 3, 	 3, 	 3, 	 4.5959, 	 0.053194, 	 31.8445, 	 0.014965, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
1, 	 4, 	 4, 	 3, 	 3, 	 3, 	 3, 	 2.364, 	 0.022053, 	 2.364, 	 0.022053, 	 0.83983, 	 1.3247, 	 0.44546, 	 y,  	 1.000000e-12 
1, 	 3, 	 1, 	 1, 	 2, 	 1, 	 1, 	 4.468, 	 0.18184, 	 8.5931, 	 0.096915, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
1, 	 3, 	 1, 	 1, 	 2, 	 1, 	 1, 	 1.3823, 	 0.18184, 	 1.3823, 	 0.18184, 	 1.7881, 	 1.0493, 	 0.28098, 	 y,  	 1.000000e-12 
1, 	 4, 	 4, 	 3, 	 3, 	 1, 	 1, 	 35.0814, 	 0.010828, 	 90.4559, 	 0.0034006, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
1, 	 4, 	 4, 	 3, 	 3, 	 1, 	 1, 	 11.4599, 	 0.0051763, 	 11.4599, 	 0.0051763, 	 1.0873, 	 1.1832, 	 0.48843, 	 y,  	 1.000000e-12 
1, 	 4, 	 4, 	 3, 	 3, 	 2, 	 2, 	 16.9294, 	 0.023513, 	 59.8677, 	 0.006752, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
1, 	 4, 	 4, 	 3, 	 3, 	 2, 	 2, 	 8.7322, 	 0.014545, 	 8.7322, 	 0.014545, 	 1.2245, 	 1.3264, 	 0.49202, 	 y,  	 1.000000e-12 
1, 	 4, 	 4, 	 3, 	 3, 	 3, 	 3, 	 4.5959, 	 0.053194, 	 31.8445, 	 0.014965, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
1, 	 4, 	 4, 	 3, 	 3, 	 3, 	 3, 	 2.364, 	 0.022053, 	 2.364, 	 0.022053, 	 0.83983, 	 1.3247, 	 0.44546, 	 y,  	 1.000000e-12 
1, 	 3, 	 1, 	 1, 	 2, 	 1, 	 1, 	 4.468, 	 0.18184, 	 8.5931, 	 0.096915, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
1, 	 3, 	 1, 	 1, 	 2, 	 1, 	 1, 	 1.3823, 	 0.18184, 	 1.3823, 	 0.18184, 	 1.7881, 	 1.0493, 	 0.28098, 	 y,  	 1.000000e-12 
1, 	 4, 	 4, 	 3, 	 3, 	 1, 	 1, 	 0.144, 	 4.4444e-05, 	 1.596, 	 6e-05, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
1, 	 4, 	 4, 	 3, 	 3, 	 1, 	 1, 	 0.04704, 	 2.1247e-05, 	 0.04704, 	 2.1247e-05, 	 0.25295, 	 1.1832, 	 0.48843, 	 y,  	 1.000000e-12 
1, 	 4, 	 4, 	 3, 	 3, 	 2, 	 2, 	 0.144, 	 0.0002, 	 1.596, 	 0.00018, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
1, 	 4, 	 4, 	 3, 	 3, 	 2, 	 2, 	 0.074276, 	 0.00012372, 	 0.074276, 	 0.00012372, 	 0.39071, 	 1.3264, 	 0.49202, 	 y,  	 1.000000e-12 
1, 	 4, 	 4, 	 3, 	 3, 	 3, 	 3, 	 0.144, 	 0.0016667, 	 1.596, 	 0.00075, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
1, 	 4, 	 4, 	 3, 	 3, 	 3, 	 3, 	 0.074075, 	 0.00069102, 	 0.074075, 	 0.00069102, 	 0.52505, 	 1.3247, 	 0.44547, 	 y,  	 1.000000e-12 
1, 	 3, 	 1, 	 1, 	 2, 	 1, 	 1, 	 0.172, 	 0.007, 	 1.596, 	 0.018, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
1, 	 3, 	 1, 	 1, 	 2, 	 1, 	 1, 	 0.053212, 	 0.007, 	 0.053212, 	 0.007, 	 0.37061, 	 1.0493, 	 0.28098, 	 y,  	 1.000000e-12 
1, 	 4, 	 4, 	 3, 	 3, 	 1, 	 1, 	 35.0814, 	 0.010828, 	 90.4559, 	 0.0034006, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
1, 	 4, 	 4, 	 3, 	 3, 	 1, 	 1, 	 11.4599, 	 0.0051763, 	 11.4599, 	 0.0051763, 	 1.0873, 	 1.1832, 	 0.48843, 	 y,  	 1.000000e-12 
1, 	 4, 	 4, 	 3, 	 3, 	 2, 	 2, 	 16.9294, 	 0.023513, 	 59.8677, 	 0.006752, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
1, 	 4, 	 4, 	 3, 	 3, 	 2, 	 2, 	 8.7322, 	 0.014545, 	 8.7322, 	 0.014545, 	 1.2245, 	 1.3264, 	 0.49202, 	 y,  	 1.000000e-12 
1, 	 4, 	 4, 	 3, 	 3, 	 3, 	 3, 	 4.5959, 	 0.053194, 	 31.8445, 	 0.014965, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
1, 	 4, 	 4, 	 3, 	 3, 	 3, 	 3, 	 2.364, 	 0.022053, 	 2.364, 	 0.022053, 	 0.83983, 	 1.3247, 	 0.44546, 	 y,  	 1.000000e-12 
1, 	 3, 	 1, 	 1, 	 2, 	 1, 	 1, 	 4.468, 	 0.18184, 	 8.5931, 	 0.096915, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
1, 	 3, 	 1, 	 1, 	 2, 	 1, 	 1, 	 1.3823, 	 0.18184, 	 1.3823, 	 0.18184, 	 1.7881, 	 1.0493, 	 0.28098, 	 y,  	 1.000000e-12 
2, 	 5, 	 5, 	 4, 	 4, 	 1, 	 1, 	 215.1278, 	 0.0022231, 	 604.1473, 	 1.8905e-13, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
2, 	 5, 	 5, 	 4, 	 4, 	 1, 	 1, 	 5483448.3986, 	 0.0022231, 	 5401510668.8848, 	 1.7999e-06, 	 2668.6196, 	 0.9391, 	 8.1014, 	 y,  	 1.000000e-12 
2, 	 5, 	 5, 	 4, 	 4, 	 2, 	 2, 	 123.1652, 	 0.0090509, 	 419.8084, 	 4.2038e-13, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
2, 	 5, 	 5, 	 4, 	 4, 	 2, 	 2, 	 3498878.4708, 	 0.0090509, 	 4073030438.4444, 	 4.343e-06, 	 2655.3026, 	 0.9391, 	 8.2789, 	 y,  	 1.000000e-12 
2, 	 5, 	 5, 	 4, 	 4, 	 3, 	 3, 	 55.109, 	 0.029766, 	 256.5426, 	 1.049e-12, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
2, 	 5, 	 5, 	 4, 	 4, 	 3, 	 3, 	 2179708.4053, 	 0.045783, 	 2919445049.9619, 	 1.2711e-05, 	 2390.0122, 	 0.9391, 	 8.8455, 	 y,  	 1.000000e-12 
2, 	 5, 	 5, 	 4, 	 4, 	 4, 	 4, 	 13.7203, 	 0.083846, 	 123.8007, 	 3.0372e-12, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
2, 	 5, 	 5, 	 4, 	 4, 	 4, 	 4, 	 764970.4719, 	 0.13678, 	 1432447087.0654, 	 3.7421e-05, 	 1846.4222, 	 0.9391, 	 9.4742, 	 y,  	 1.000000e-12 
2, 	 4, 	 2, 	 2, 	 3, 	 2, 	 2, 	 11.1168, 	 0.12009, 	 11.6136, 	 0.050937, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
2, 	 4, 	 2, 	 2, 	 3, 	 2, 	 2, 	 1.0952, 	 0.069732, 	 1.3715, 	 0.063348, 	 1.8756, 	 0.8518, 	 0.43259, 	 y,  	 1.000000e-12 
3, 	 7, 	 7, 	 5, 	 5, 	 1, 	 1, 	 5601.9634, 	 5.6703e-05, 	 370.8867, 	 8.2744e-05, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
3, 	 7, 	 7, 	 5, 	 5, 	 1, 	 1, 	 659.2178, 	 4.2528e-05, 	 659.2178, 	 4.2528e-05, 	 1.7774, 	 0.78024, 	 0.94409, 	 y,  	 1.000000e-12 
3, 	 7, 	 7, 	 5, 	 5, 	 2, 	 2, 	 3358.7194, 	 0.0001714, 	 282.2813, 	 0.00021167, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
3, 	 7, 	 7, 	 5, 	 5, 	 2, 	 2, 	 500.7054, 	 0.00012855, 	 500.7054, 	 0.00012855, 	 1.7738, 	 0.80706, 	 0.94409, 	 y,  	 1.000000e-12 
3, 	 7, 	 7, 	 5, 	 5, 	 3, 	 3, 	 1738.442, 	 0.00059144, 	 202.2893, 	 0.00053934, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
3, 	 7, 	 7, 	 5, 	 5, 	 3, 	 3, 	 307.2286, 	 0.00035629, 	 307.2286, 	 0.00035629, 	 1.5188, 	 0.86396, 	 0.9036, 	 y,  	 1.000000e-12 
3, 	 7, 	 7, 	 5, 	 5, 	 4, 	 4, 	 696.2776, 	 0.0023984, 	 132.8451, 	 0.0014345, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
3, 	 7, 	 7, 	 5, 	 5, 	 4, 	 4, 	 156.6827, 	 0.0010931, 	 156.6827, 	 0.0010931, 	 1.1794, 	 0.94561, 	 0.85457, 	 y,  	 1.000000e-12 
3, 	 7, 	 7, 	 5, 	 5, 	 5, 	 5, 	 154.1639, 	 0.011098, 	 76.0566, 	 0.00438, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
3, 	 7, 	 7, 	 5, 	 5, 	 5, 	 5, 	 53.3877, 	 0.0036038, 	 53.3877, 	 0.0036038, 	 0.70195, 	 1.0807, 	 0.79527, 	 y,  	 1.000000e-12 
3, 	 5, 	 3, 	 3, 	 3, 	 3, 	 2, 	 49.3144, 	 0.028538, 	 19.5639, 	 0.013502, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
3, 	 5, 	 3, 	 3, 	 3, 	 3, 	 2, 	 32.7208, 	 0.028538, 	 32.7208, 	 0.028538, 	 2.1371, 	 1.0989, 	 0.74536, 	 y,  	 1.000000e-12 
3, 	 5, 	 3, 	 3, 	 3, 	 2, 	 3, 	 54.6885, 	 0.021099, 	 17.7423, 	 0.0091834, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
3, 	 5, 	 3, 	 3, 	 3, 	 2, 	 3, 	 23.6827, 	 0.021099, 	 23.6827, 	 0.021099, 	 2.2741, 	 1.2422, 	 0.52705, 	 y,  	 1.000000e-12 
3, 	 5, 	 3, 	 3, 	 3, 	 2, 	 2, 	 98.8333, 	 0.0095325, 	 24.048, 	 0.0082981, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
3, 	 5, 	 3, 	 3, 	 3, 	 2, 	 2, 	 33.0029, 	 0.0095325, 	 33.0029, 	 0.0095325, 	 1.7536, 	 0.95788, 	 0.74536, 	 y,  	 1.000000e-12 
4, 	 17, 	 17, 	 17, 	 17, 	 1, 	 1, 	 15520.3144, 	 2.2167e-16, 	 11536.7888, 	 2.1992e-16, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
4, 	 17, 	 17, 	 17, 	 17, 	 1, 	 1, 	 30988.3074, 	 5.9054e-16, 	 30988.3074, 	 5.9054e-16, 	 2.6853, 	 1, 	 1.0593, 	 y,  	 1.000000e-12 
4, 	 17, 	 17, 	 17, 	 17, 	 1, 	 1, 	 15520.3144, 	 2.2167e-16, 	 11536.7888, 	 2.1992e-16, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
4, 	 17, 	 17, 	 17, 	 17, 	 1, 	 1, 	 30988.3074, 	 5.9054e-16, 	 30988.3074, 	 5.9054e-16, 	 2.6853, 	 1, 	 1.0593, 	 y,  	 1.000000e-12 
4, 	 17, 	 17, 	 17, 	 17, 	 2, 	 2, 	 12387.3005, 	 7.2981e-16, 	 8928.8831, 	 7.2403e-16, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
4, 	 17, 	 17, 	 17, 	 17, 	 2, 	 2, 	 24419.9123, 	 1.9442e-15, 	 24419.9123, 	 1.9442e-15, 	 2.6853, 	 1.0011, 	 1.0582, 	 y,  	 1.000000e-12 
4, 	 17, 	 17, 	 17, 	 17, 	 3, 	 3, 	 9625.992, 	 2.5297e-15, 	 6800.5243, 	 2.5097e-15, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
4, 	 17, 	 17, 	 17, 	 17, 	 1, 	 1, 	 15520.3144, 	 2.2167e-16, 	 11536.7888, 	 2.1992e-16, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
Custom, 	 10, 	 10, 	 7, 	 7, 	 1, 	 1, 	 13980482.724, 	 3.435e-08, 	 3368626.4405, 	 5.837e-09, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
Custom, 	 10, 	 10, 	 7, 	 7, 	 1, 	 1, 	 2.2028, 	 9.4409e-10, 	 2.2028, 	 9.4409e-10, 	 0.46768, 	 0.38179, 	 0.38179, 	 y,  	 1.000000e-12 
Custom, 	 10, 	 10, 	 7, 	 7, 	 2, 	 2, 	 9045881.8832, 	 1.5805e-07, 	 2685619.4413, 	 1.4707e-08, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
Custom, 	 10, 	 10, 	 7, 	 7, 	 2, 	 2, 	 1.4253, 	 1.6556e-09, 	 1.4253, 	 1.6556e-09, 	 0.40568, 	 0.37998, 	 0.37998, 	 y,  	 1.000000e-12 
Custom, 	 10, 	 10, 	 7, 	 7, 	 3, 	 3, 	 5434792.219, 	 8.5461e-07, 	 2075643.1838, 	 3.9962e-08, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
Custom, 	 10, 	 10, 	 7, 	 7, 	 3, 	 3, 	 0.85632, 	 2.763e-09, 	 0.85632, 	 2.763e-09, 	 0.31536, 	 0.37998, 	 0.37998, 	 y,  	 1.000000e-12 
Custom, 	 10, 	 10, 	 7, 	 7, 	 4, 	 4, 	 2947490.7974, 	 5.6777e-06, 	 1542700.4692, 	 1.188e-07, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
Custom, 	 10, 	 10, 	 7, 	 7, 	 4, 	 4, 	 0.46441, 	 4.5891e-09, 	 0.46441, 	 4.5891e-09, 	 0.23011, 	 0.37998, 	 0.37998, 	 y,  	 1.000000e-12 
Custom, 	 10, 	 10, 	 7, 	 7, 	 5, 	 5, 	 1372278.2524, 	 1.6955e-05, 	 1089996.2076, 	 3.3658e-07, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
Custom, 	 10, 	 10, 	 7, 	 7, 	 5, 	 5, 	 0.21622, 	 7.369e-09, 	 0.21622, 	 7.369e-09, 	 0.15163, 	 0.37998, 	 0.37998, 	 y,  	 1.000000e-12 
Custom, 	 10, 	 10, 	 7, 	 7, 	 6, 	 6, 	 492724.9032, 	 2.4352e-05, 	 719502.3347, 	 8.8871e-07, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
Custom, 	 10, 	 10, 	 7, 	 7, 	 6, 	 6, 	 0.077635, 	 1.0583e-08, 	 0.077635, 	 1.0583e-08, 	 0.082479, 	 0.37998, 	 0.37998, 	 y,  	 1.000000e-12 
Custom, 	 10, 	 10, 	 7, 	 7, 	 7, 	 7, 	 98140.3166, 	 2.3475e-05, 	 431385.621, 	 2.5789e-06, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
Custom, 	 10, 	 10, 	 7, 	 7, 	 7, 	 7, 	 0.015463, 	 1.0203e-08, 	 0.015463, 	 1.0203e-08, 	 0.0274, 	 0.37998, 	 0.37998, 	 y,  	 1.000000e-12 
Custom, 	 10, 	 10, 	 7, 	 7, 	 5, 	 5, 	 1372278.2524, 	 1.6955e-05, 	 1089996.2076, 	 3.3658e-07, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
Custom, 	 10, 	 10, 	 7, 	 7, 	 5, 	 5, 	 0.21622, 	 7.369e-09, 	 0.21622, 	 7.369e-09, 	 0.15163, 	 0.37998, 	 0.37998, 	 y,  	 1.000000e-12 
Custom, 	 10, 	 10, 	 7, 	 7, 	 1, 	 1, 	 1611.554, 	 3.9596e-12, 	 217.6834, 	 3.7719e-13, 	 1, 	 1, 	 1, 	 y,  	 1.000000e-12 
Custom, 	 10, 	 10, 	 7, 	 7, 	 1, 	 1, 	 0.00025392, 	 1.0883e-13, 	 0.00025392, 	 1.0883e-13, 	 0.83425, 	 0.38179, 	 0.38179, 	 y,  	 1.000000e-12 
